Section,Metric,Value
Admissions by day,2025-10-01,15
Admissions by day,2025-10-02,11
Admissions by day,2025-10-03,9
Admissions by day,2025-10-04,17
Admissions by day,2025-10-05,11
Admissions by day,2025-10-06,9
Admissions by day,2025-10-07,11
Admissions by day,2025-10-08,8
Admissions by day,2025-10-09,13
Admissions by day,2025-10-10,9
Admissions by day,2025-10-11,10
Admissions by day,2025-10-12,14
Admissions by day,2025-10-13,7
Admissions by day,2025-10-14,7
Admissions by day,2025-10-15,10
Admissions by day,2025-10-16,6
Admissions by day,2025-10-17,6
Admissions by day,2025-10-18,9
Admissions by day,2025-10-19,19
Admissions by day,2025-10-20,9
Admissions by day,2025-10-21,8
Admissions by day,2025-10-22,11
Admissions by day,2025-10-23,15
Admissions by day,2025-10-24,9
Admissions by day,2025-10-25,13
Admissions by day,2025-10-26,10
Admissions by day,2025-10-27,10
Admissions by day,2025-10-28,5
Admissions by day,2025-10-29,6
Admissions by day,2025-10-30,13
Admissions by day,2025-10-31,6
Admissions by day,2025-11-01,18
Admissions by day,2025-11-02,9
Admissions by day,2025-11-03,8
Admissions by day,2025-11-04,16
Admissions by day,2025-11-05,8
Admissions by day,2025-11-06,10
Admissions by day,2025-11-07,12
Admissions by day,2025-11-08,14
Admissions by day,2025-11-09,12
Admissions by day,2025-11-10,11
Admissions by day,2025-11-11,13
Admissions by day,2025-11-12,12
Admissions by day,2025-11-13,7
Admissions by day,2025-11-14,12
Admissions by day,2025-11-15,8
Admissions by day,2025-11-16,9
Admissions by day,2025-11-17,11
Admissions by day,2025-11-18,12
Admissions by day,2025-11-19,14
Admissions by day,2025-11-20,6
Admissions by day,2025-11-21,10
Admissions by day,2025-11-22,6
Admissions by day,2025-11-23,17
Admissions by day,2025-11-24,7
Admissions by day,2025-11-25,11
Admissions by day,2025-11-26,11
Admissions by day,2025-11-27,8
Admissions by day,2025-11-28,8
Admissions by day,2025-11-29,14
Admissions by day,2025-11-30,11
Admissions by day,2025-12-01,8
Admissions by day,2025-12-02,8
Admissions by day,2025-12-03,10
Admissions by day,2025-12-04,19
Admissions by day,2025-12-05,14
Admissions by day,2025-12-06,8
Admissions by day,2025-12-07,5
Admissions by day,2025-12-08,11
Admissions by day,2025-12-09,15
Admissions by day,2025-12-10,9
Admissions by day,2025-12-11,5
Admissions by day,2025-12-12,10
Admissions by day,2025-12-13,13
Admissions by day,2025-12-14,13
Admissions by day,2025-12-15,11
Average LOS,avg_los_days,3.49
30-day readmissions,readmit_pairs,305
Top diagnoses,I10,90
Top diagnoses,I21.9,59
Top diagnoses,I50.9,92
Top diagnoses,I63.9,77
Top diagnoses,J06.9,79
